Text,"sentiment (-1 for pro-palestine, 0 for natural, 1 for pro-israel)"
"Firstly, it’s not a war. A war is fought between armies with tanks and armaments. Secondly, Israel is an occupier, it has a legal responsibility, under international law, towards the people it occupies.",0
"Gaza is not occupied, not for many years now",1
@colettegiaretta Israel does not occupy Gaza since 2005.,1
Finally. It’s ok to say both sides are wrong. The scale at which it’s happening is another topic.,0
"Yes we know, but only one side is committing genocide",-1
"Funny, Israel defending itself isn’t a war crime. Where are the hostages? Or is that not a war crime? The UN is discussing.",1
Am Israel Chai 🇮🇱 your lies can't change it,1
Bad reporting. You only stated the number killed by Hamas. What about the multiple tens of thousands killed by Israel?? Shame on you.,-1
It’s not a war. It’s an OCCUPATION vs RESISTANCE. I wish yall would call it what it is. GENOCIDE.,-1
"Ugh some more bullshit 🙄 an apartheid was definitely worse as well as genocide. This is childish af, Israels soldiers have happily gathered all the evidence a tribunal would need 👌🏾 they love recording themselves committing war crimes",-1
"But, UN never condemn what Hamas did. It’s not fair.",-1
"October 7 was a crime. Kidnapping, graping and mutilating women.",1
"What do you call a militant group who kidnaps babies and elderly from their beds? ""Terrorists""",1
"If you are going to comment, get your facts straight first. Get your information from the history books, from credible unbiased sources not from tiktok and other social media sources used for propaganda. You will look like a brainless clown.....",1
I mean Israel has become a pariah state by committing genocide with impunity for the entire world to see so I’m sure Hamas considers that a strategic win,-1
No hope for Gaza until Hamas is gone.,0
Free Palestine from Hamas ❤️❤️❤️,0
America is run by Israel. What an embarrassment,-1
Free Gaza from Hamas ✌️🇮🇱❤️,1
Wake up WORLD. bring home our hostages. 🇮🇱🇮🇱🎗️🎗️🙏🏽🙏🏽,1
Hamas has got to go 🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱,1
Hmas has put out dozens of statements over 8 months and you’ve NEVER reported them but you report this “leaked statement”?? Sure lol,-1
"""RESISTANCE IS NOT TERRORISM "" PRESIDENT JIMMY CARTER",-1
Here is your proof to finally understand who is really protesting for the innocent people 🍉,-1
You mean Zionist are attacking peaceful protestors and are not being hold accountable whatsoever because they’re white?,-1
If only you could label them for what actually are - anti-genocide protests and rightly so! ✊🏾✊🏾✊🏾 solidarity with them,-1
if only they knew more of what they were protesting,1
"Oh!! But they can confirm that 1200 people were killed in Israel?
CNN we know you are IDF media..
Shame",-1
Take off the masks and show your faces!!,0
*antisemitic protest,1
"I studied 1940s Germany. This is far worse.
1. Dehumanizing propaganda
2. Infants (in incubators), hospital patients, and children buried alive
3. Starvation
4. The native people's land and infrastructure destroyed
5. Mass executions/graves
6. Child and adult r@**
7. K!!!ing people trying to aid, aid workers, doctors, ambulance drivers, and the press
8. Lying to authorities about war crimes and ignoring the global community’s pleas to #ceasefire
9. Looting homes and stores on video
10. Domestic and wild animals killed
11. Millions terrorized, traumatized and driven into tents
12. Elderly, disabled, orphans, and pregnant women beaten and killed
13. Desecration of religious buildings and the deceased
14. Attacking nearby countries, unprovoked to create a wider conflict
15. Vital organs removed
16. Full documentation of #genocide on video #freepalestine",-1
@wonispotts stop spreading propaganda!!,1
"@jackson.petit if it was genocide Isreal would’ve bombed them to extinction by oct 9. More bombs sent then people dead = not genocide. Genocide is the targeted total destruction. Clearly this isn’t that. Again, does not make it right. But we need to start being factual and not emotional if we want this disaster to end.",1
@brod_e_ this is far worse than anything in modern history….the Zionazis take the prize when it comes to Geno cides,-1
"You want to boycott Israel? Don’t use waze, USB, pillcams, intel computer chips, miscrosoft, 3G solar, cherry tomatoes and much much more!! 😍🇮🇱",1
"Not only is Israel destroying its own democracy, it is destroying our democracy as well. Freedom of speech and first amendment rights are a hallmark of American democracy! #freepalestine🇵🇸 #stopthegenocideingaza🇵🇸",-1
Rise against Genocide✊,-1
"KEEP PROTESTING, KEEP TALKING ABOUT PALESTINE🇵🇸🇵🇸🇵🇸",-1
A bunch of kids who know nothing about the conflict or Middle East except what they just learned.,1
Say NO to terrorism! Go Israel!!!🇮🇱 🇮🇱🇮🇱,1
Stop genocide Israel shame on you,-1
"United States at joe Bidens administration let many students come to Us, especially people who coming from middle east mostly believe in jihad and killing for their Islamic beliefs including for (alaqsal mosque).. while many christian and political refugees couldn't get Us visa due to USCIS wrong policies. Therefore ,slowly Us will realize impact of such admissions on its national security... @cnn , @camanpour",0
Lmao they’re protesting for people who have American hostages. They’d turn you into farm food for their cattle lol,1
Seems like people like to hop on trends what’s good protesting here in America? Ain’t nothing gonna happen here go to the Middle East and protest there you wouldn’t even last a hour you’re supporting people who hate you and wouldn’t think twice about ending your life how about you protest the homeless/ mentally disabled veterans who get treated like shi who fought for your country how about you protest bidens disaster high gas prices sky rocketing inflation sending aid to other countries with our money and we have to pay a price for it America needs to get it together at this moment thousands and thousands of undocumented people are coming to our country and being taken care of while we struggle especially un 💉 lol while they made you get it there are also military aged men flowing in throughout the country we live in a 3rd world right now it’s sad to say,1
"Looks like Insurrectionists to me, it’s not protests when they are getting violent. They are ANTI-SEMITICS!",1
Thank you for showing the truth. The brutality and antisemitism that came out in LA this weekend can’t be tolerated.,1
This isn’t a protests this is just hate on full display!!!,1
Stop saying “pro Palestine” when they are just “anti Jew.” If they were pro Palestine they’d protest the way Hamas and the PLO have destroyed generations of Palestinians’ hope for a better future living in peace with the Jewish State.,1
Blocking a Synagogue and chasing Jews with bats in Los Angeles is all about “Palestine” right?,1
Thank you for reporting on this accurately. 🙏 this was a progron not a protest. It’s terrorism on US soil and it’s time we wake up,1
"They didn’t just “block access”. They went on an assault and vandalism spree, and openly hunted for anyone with a Jewish appearance prior to people rushing to defense. There is zero moral equivalence here in movement or behavior. This was a not a “clash.” There are no “sides” here, and this isn’t football, this is an antisemitic mob that for some reason people are giving an alarming amount of behavioral rope to.",1
Blocking entrance to a place of worship? This is really a new low.,1
Stop the anti-Semitism!!! 🇺🇸🇮🇱,1
This is how the 🇺🇸 supports terror by tolerating such events. This is not freedom of speech! This is anti-Semitism!!! 🤬🤬🤬🤬,1
Thank you for bringing attention to antisemitism.,1
Just say it- antisemitism. It's truly heartbreaking.,1
Absolutely horrible that something like this can take place in 🇺🇸 and people can't condemn it!!! It's giving Germany 1930's😥,1
"This was not a “protest” or a “clash” it was a pogrom. Just example 1,000,000 of how anti-Zionism is in fact, anti-semitism. For the record, this is exactly what happened in Europe in the years leading up to the Holocaust, so no, your Jewish friends and neighbors are not overreacting.",1
"Attacking our places of worship will not bring peace, but makes the USA a place where Jews feel unsafe.",1
This is horrific! Stop antisemitism!,1
Yeah I think those protesters forfeited their American values when they decided to use antisemitism to help Palestine,1
Thank you for calling out the antisemitism and terrorism on American soil. Thank you WSJ for accurately reporting the hate fueled attack on Jews that this pro Hamas rally was.,1
Thank you WSJ for taking the time to accurately report the abhorrent antisemitism the Jewish community is experiencing now.,1
Don’t vote Hamas maybe your future will be better,1
and who slammed that door shut again on Oct 7th?,1
I wonder what kfir and Ariel Bibas think of their childhood? Not even one and taken hostage 🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱,1
Blame h@mas,1
Why is there no mention of Hamas in the graphics or social copy here? That’s the reason there will never be coexistence with Israelis… because of Hamas.,1
No mention of Hamas? 🧐,1
"I don’t get it. Palestinians overwhelmingly support Hamas, who decided to start a war. Don’t blame Israel now that they are defending themselves and fighting to get back the hostages",1
"Perhaps instead of demonizing Israel (which is giving the most care and aid to the Gazans out of any neighbor in the region), the WSJ should think about showing the Western audience who is chiefly responsible for this suffering. Perhaps living under the governance of a terror organization, no matter how dependent on it the people may be, is a recipe for oppression and warfare?",1
She can thank Hamas for that,1
Dont vote for Hamas?,1
Shame on the wsj for publishing this one sided and hateful article. Am Yisrael chai 🇮🇱,1
Hamas ruined her life,1
I know for a fact I’ll never see my friends again- they were brutally murdered on October 7th.,1
"For everyone blaming this young lady and trying to mention hamas in each comment , go educate yourself about the conflict that has been there for 75 years , Palestinians in west bank also have same coexistence crisis although there is no hamas in west bank",-1
Maybe if Oct 7th didn’t happen they’d be better off? Just a thought,1
Gen Zs should be angry with Hamas for denying them a future.,1
Dare to demand responsibility from Hamas who caused this situation and stole foreign aid from Gazan people. No other nation received so much aid than the Palestinians. You cannot blame Israel and Jews for their failiures!,1
She can blame hamas and Iran for that,1
"Only Muslim are victims of violence, but Hindus being killed by Muslims in Kashmir and Jews on Oct 7 are not victims who deserve media coverage.",1
So much hate & dehumanisation of Palestinians in the comments. We can guess who reads wsj.,-1
Lol why is this comment section o much prozionist lol hhhhhh,-1
"And you are raised to hate the only 2 nations that do try to help 🇺🇸🇮🇱 if not you would be starving, blame your leaders",1
"Palestinians have been massacred, occupied, oppressed and ethnically cleansed for 75 years. Why? Because they didn’t hand their lands over to Jewish immigrants from Europe. That’s it. That’s what it comes down to. No matter how you spin it, that is the ultimate truth no one can deny",-1
Shame on you WSJ. Not surprising though. Maybe they should invest in a future that does not include murdering their neighbors!!!! 70 years of waste. Am Israel Chai. 🇮🇱 🇮🇱 🇮🇱,1
"Hope? They had hope, alright. They hoped to murder their neighbours and destroy a nation. They keep losing every war they start and then complain they’ve ’lost all hope’. Maybe they should change what they hope for.",1
Goodness me. I’m guessing this is Israels fault too? 🤷🏻‍♀️,1
Must be Israel’s fault,1
Don't forget to blame the Hebrews 😂🥲,1
I am surprised Jews aren't being blamed for the extreme heat yet but members of extreme left Pale-cult are already linking Zionism to eco-supremacy so it is just around the corner,1
This will end up Israel’s fault too,1
Are jews responsible??,1
"Not even a kilo from his weight lost, he looks healthy and good, neither look at released prisoners from idf jails.",-1
@huma.nkindness being kidnapped sounds amazing!!! The cake is the cherry on top!! Imagine you hate Jews so much you glamorize their kidnapping.,1
"Israel hostages look healthy & well fed but if Palestinian prisoners were released. They look starved, a sign of torture and many more",-1
@immamonsta.inc and that justifies the peaceful and friendly kidnapping. I’m sure their mental state is wonderful too. The prisoners you have mentioned are terrorists not civilians… so don’t make a full of yourself by comparing the two.,1
"@immamonsta.inc sinwar looks just fine! He was a Palestinian prisoner (convicted of killing 4 Palestinians 😱) and while in prison, he complained of headaches, so an Israeli doctor found that he had a terminal brain tumor, operated on him, saved his life, then he was released in a prisoner exchange for one IDF soldier taken hostage .. his release led to Oct 7th. Israel always chooses life.. even operating on a monster instead of letting him suffer from his condition and die . Try again. !",1
"@agattini the majority of prisoners Israel have taken are under 16. Children charged with the crime of throwing rocks at tanks. Some of these children have been released after years, they show signs of extreme starvation and torture. These are the facts, no opinion nor narrative.",-1
Well these Hostages look well treated compared to the Palestinian Hostages Israel holds..,-1
"That’s insane! These 4 people newsworthy right? More than 200 people were killed meanwhile as you mentioned but they have no names, they are just numbers!",-1
Rescue mission with over 200 civilians as collateral damage. 🙄,-1
"They look look well and like they were taken care of, unlike those images and videos of dead Palestinian babies with their body parts hanging out that will haunt me forever. I’m glad they are free but one persons life is not greater than anothers. The way this was done will go down in history as genocide.",-1
He looks healthy and well taken care of. Unlike those poor Palestinian civilians,-1
And how many did IDF killed?,-1
Kills hundreds to save 4. Sounds like something Homelander would do.,-1
Why were innocent Palestinian civilians trying to stop the IDF soldiers that were there to rescue 4 civilian hostages? Why were they captivating these hostages in their homes to begin with?,1
Israël is doing everything to save their people! Congrats rescuing these 4 people 💙💙💙,1
Well done! Hamas must become a distant memory,1
Badass. Thank you IDF.,1
IDF soldiers are heroes. God bless IDF and ISRAEL,1
"Does the video show the 3 other hostages killed in the ""successful operation""? And the ""assistance"" trojan trucks? 8 months of open violence and murder and this the ""achievement""? 😂",-1
A dark day for humankind where people kill 270 people instead of trying to aim for a ceasefire.,-1
It’s funny that they sometimes refer to Hamas as “PALESTINIAN HEALTH OFFICIALS”,1
"Rafah massacre is a mistake, targeting of the World Central Kitchen staff was a mistake, the flower massacre was a mistake, Hamas main operation base under Al Shifa hospital was a mistake, targeting of the Orthodox Church was a mistake, killing of over 100 journalists was a mistake, killing of 15,000 students was a mistake. What other mistakes does Israel have planned? When do we ever get to see any of the investigations you claim are undergoing?",-1
The comments on here = ignorance. 😮 8 months of gen0cide and people are still making snarky comments.,-1
I just don't see this kids flying to Palestine and fight for their freedom. Maybe support a local cause?,1
Supporting terrorism is NOT free speech!,1
Have these protestors not seen the tragedies that occurred on October 7th? Do they not realize there are still over 100 hostages held by Hamas? I really don’t understand the logic,1
I find it funny how people think rioting on college campuses will cause peace in nations on the other side of the world.,1
😑 our best and brightest don't even know what they're fighting for,1
There must be protests in free Palestine from Hamas right😂 do they realize Hamas would kill most of them for being educated or dress a certain way or played certain music? I think they need to learn more about Hamas.,1
The self-importance of these Ivy League people is off the charts.,0
"I wonder how many of the protesters paid their own, not their parents’ money for the education",0
“From the river to the sea” isnt and should never be considered free speech - it’s calling for the wiping out of an entire country and people,1
Spoiled kids.,0
"So everyone in this comment section supports sending billions to Israel to continue killing women, children, and babies?",-1
Fuck this. What a bummer for the hard-working people who actually wanted to enjoy their ceremony.,0
Stop funding wars with our taxes. I don’t give a shit who’s right or wrong.,0
"It's spelled ""antisemitism""
You're welcome",1
Jerry is incredible. What an incredible speech by an amazing human. It’s unfortunate antisemitism is so normal. This would not happen to any other group. It doesn’t happen to any other minority. Only the Jews. The longest hatred of all time,1
Imagine doing this with someone for being a muslim or for being black…,1
"Pure antisemitism.
What else?",1
Modern Antisemitism,1
Seems pretty antisemitic to me. Why don’t these dopes go to Palestine and see how free to protest they are.,1
There’s literally nothing funny about him tbh. Always hated this guy. He’s just not funny,0
These college kids think Duke is dropping bombs?,0
Why did they walk out? Because he is Jewish? Are they openly admitting their antisemitism then?,1
Send them over to help the people they are protesting for. They might feel better,1
Crazy to think that Met Gala is more important than humanity & humans live,-1
You published an editorial calling for Israel to invade Rafah? Your board is collectively calling for genocide and saying it out loud? Sick 🤮,-1
"lots of genocidal zios in the chat, shame on u fr",-1
Does “keeping students safe” entail not allowing Jewish students to access the library or other parts of the campus? Beating Jewish girls? Just wondering?,1
"These universities are for education, not for riots!! Israel Palestinian issues should be far away from educational institutions. They are really damaging America!! This shouldn’t be allowed at any costs. Education and Art is one place where religion and politics don’t belong. Everyone needs to get along no matter what. It’s really a shame!!",0
"This is such a disgusting caption - it’s clear from the video that it was the Zionists who wrecked violence on protesters at UCLA. No sane group of people orchestrates such violence & with such impunity - carrying out a full-blown assault using fireworks/explosives. Y’all should be ashamed at your poor journalism, offering no clarity on what happening and only seeking to confuse",-1
Why are they silent about genocide of Uyghurs by China?????,0
"It’s incredible how the genocide of 34,000+ Palestinian people is never mentioned in this inane article.",-1
Why are they allowing Hamas to shut down the school?,1
"I’m just thinking about that hippie concert in the desert that got shot up on October 7, just wondering what would have happened to these kids had they attended that concert. I guess Hamas gangs would have let them be because they wanted a free Palestine.",1
This situation is becoming unmanageable. It is important to keep political matters out of educational institutions.,0
"These comments are terrifying. There are Jewish voices there too. Many people do not support Netanyahu, even his own people, while they condemn the attacks on Israel. But this war is a genocide in the making. That is the problem… where are people critical thinking skills and where is the empathy for human lives. Including the pain of these students. We cannot silence voices.",1
Israel will pay for everything they are doing.,-1
I am pleasantly surprised on WSJ reporting this and wording it the way it needs to be. Finally. 🍉,-1
"Don’t get so naive, Israel is performing an ethnic cleaning and using Oct 7 as an excuse",-1
God bless Israel,1
"There are two versions of the event: one from Israel and one from Hamas-run ministry. For some reasons, major media always choose to pick the one from Hamas. So credible source indeed.",1
You 🇵🇸 did this and you celebrated this on October 7. Now your whole life is destroyed. Zero sympathy for you!,1
"I don’t condemn Hamas, Russia, China, Ansar Allah or the IRGC.",-1
F*ck Israel & Ukraine,-1
"✅ Israel, Ukraine & Taiwan all have three things in common:

❌ They’re all led by terrorists
❌ They’re American proxies
❌ They’re not legitimate “states”",-1
"I’ve been very clear for years now…

I’m not voting for GENOCIDE JOE.
I’m not voting for ZION DON.

If someone opposes the GENOCIDE & wants to seek peace with Russia, I’ll consider voting for them!",-1
"I STAND WITH HEZBOLLAH, F*CK ISRAEL!",-1
GERMANY stands with PALESTINE!,-1
😂 Zionist bitch,-1
"ISRAEL is bombing Rafah again, right now!",-1
Israel is beheading babies again…,-1
This are the demonic “Israeli women” we are supposed to believe and feel sorry for ( though non of them actually claimed rape). Here they are mocking starving  children in Gaza.,-1
Israel must release ALL Palestinian hostages including babies.,-1
45% of houses in Gaza destroyed.,0
BREAKING⚠️ Israel announced its going to steal more Palestinian land than ever before.,-1
Israel is ethnically cleansing Palestinians from Khan Yunis.,-1
Only demons from hell could do what they did to #Gaza.,-1
"According to chatGPT Jewish people, not Muslims brought terrorism to the Middle East",-1
"“The only thing necessary for the triumph of evil is for good men to do nothing,”",0
Never forgive. Never forget.,0
"18 people took shelter in an ambulance after Hamas attacked the Nova Festival. This was their last recording. 

Hamas fired an RPG at the ambulance murdering everyone inside.

The photo shows the charred remains of the ambulance. 

Never forget how this war began.",1
"Another hostage was murdered by Hamas!
The family of Itzik Algert received the terrible news that he was murdered while in captivity.

Itzik was kidnapped alive. He was seen in Khan Younis by a released hostage.
We also know he was moved to Rafah in January.

May God avenge him!",1
it’s free palestine forever. they are not free. they deserve their freedom.,-1
PALESTINE WILL BE FREE 🇵🇸,-1
Palestine WILL WIN! 🇵🇸,-1
"Being a Zionist is such a vibe 😎 

Gaza could be this nice too if they didn’t elect a genocidal terrorist group to lead them and then have their civilians kidnap hostages.",1
zionists are always getting cooked by community notes,-1
Zionist has a nervous breakdown on live television and chokes on his own spit twice trying to justify genocide and spew propaganda,-1
"Wow. She left me speechless 🤛
No longer able to stomach Zionists bullshit .. way to go girl ",-1
"I’d say supporting Palestine has lost me business opportunities, but I’m more angry at myself for not checking whether or not I was entering into business with Zionists. My bad.",-1
"Israel has a fascist, terrorist army. ",-1
I truly don’t care what you think of Netanyahu. He is the elected prime minister of the Jewish state and what he said here is historically important. Put aside politics and listen carefully. We are at a pivotal moment in history.,0
Can you imagine the pain of the children?,0
"Footage from October 7th shows how Hamas treated the children, Israel will always lie about it.",-1
"US Congress must impose sanctions against both Turkey and Qatar, where the leaders of Hamas are hiding!",1
BRING THE HOSTAGES BACK HOME!,1
"All we can do is not stop talking about them, this will put pressure on Western leaders to act for their release.
Bring them all home now.",1
The attack on Israel and the Jews is just the first canary in the coal mine. ,1
Mark my words. It always starts with the Jews and ends bad for everyone.,1
"It was never about Palestine.

Hamas = ISIS = Al Qaeda = Houthis and all of the Islamic fundamentalism is a threat on liberal western democracies.",1
"The huge wildfire in northern Israel hasn't stopped since Hezbollah fired over 200 rockets earlier today.

Not a single word from the corrupted United Nations 🇺🇳 about this.",1
Anti-Zionism is antisemitism.,1
"if the problem is always Israel and Zionism, why are Jews around the world in danger?",1
"Oh, so it wasn't an open air prison nor a concentration camp. Glad you admit the Palestinians lied all along.",1
"This proves that ""Palestine"" was officially known as ""Land of Israel"" in 1927. ",1
"Pro-Palestinian protest in London. 

How does that free Palestine? 
Why are these protests always so violent?",1
I stand with the IDF.,1
"So, here's a🧵 of the IDF using dogs systematically to maul Gazans",-1
"the IDF protects civilians, while Hamas uses civilians to shield itself.",1
God bless the IDF🇮🇱❤️,1
Praying for Palestine May Allah give strength and have mercy on Palestinians.,-1
Palestinian fighters returning to Gaza with a Israeli IDF vehicle Palestinians are brave nation they knows how to fight for their land the whole Muslim ummah is with the Palestinians brothers and sisters.,-1
This baby was burned alive by Hamas. He’s still clutching his teddy bear. ,1
"Israeli soldiers violently assault and detain an old Palestinian man, Sheikh Ziyad Abu Halil, in Hebron.

There is no Hamas or Hostages in Hebron.

This is how Palestinians have been treated for years under Israels Apartheid regime.

This is why its Ethnic Cleansing.",-1
"Hamas supporters assaulted elderly Jews in a library in Asheville, North Carolina.",1
Two brave young women proudly holding the Israeli flag in front of a masked mob of Hamas supporters.,1
"A young woman
Perfectly clean clothes 
Plump face
Perfect makeup
Complains about how ""everyone is starving in north Gaza""",1
Hamas is Isis,1
Take that Palestinian flag and shove it up your a**!,1
Antisemitism is a disgusting ideology that has resulted in the deaths of many millions.,1
Jewish Americans protest outside a cafe in West Hollywood after the owner REFUSED to serve a Jewish customer and threw him out because he was wearing a Kippah.,1
Pro Hamas supporters yelling antisemitic slurs at Jewish children in Vancouver during a baseball game.   Jews are not safe in Canada.,1
Dirty kyke,-1
The war needs to stop,0
Just have peace...,0
"Dear God: cars festooned with Palestinian flags are going through heavily Jewish neighborhoods of London with loudspeakers blaring, ""F*ck the Jews. Rape their daughters.""

Tell me more about how anti-Zionism isn't antisemitic.",1
end to the occupation of Palestine.,-1
Israel has announced the largest seizure of Palestinian land in the West Bank in over three decades.,-1
"It’s not complicated, RELEASE THE HOSTAGES!",1
SioNazi,-1
"It's not complicated, give Israel back to Palestine you land invaders",-1
So simple. Ask Hamas to surrender and end the bloodshed.,1
From the river to the sea free free Palestine,-1
Hamas are fighting to free Palestine  Israel is fighting to keep what they stole,-1
"Disgusting post. Stop denying the torture and rape of Israeli women. Better yet, just stop.",1
there was “no evidence” that Hamas terrorists raped Israeli women on October 7,-1
"Yes, it is true that no peaceful person should be killed, no matter who he is. But you must also ask your terrorist friends, Hamas, to stop killing innocent Jews and stop using civilians in Gaza as human shields. Thank you.",1
So Simple get the hell of Palestine.,-1
"How dare you pollute a beautiful piece such as “us and them” with your anti-Semitism, your denial of the massacre, the rape, the kidnapping of the 7th of October. You are hopeless, you only believe you are a good person, you are a full of hate!!! You are tarnishing the Pink Floyd's legacy. Bring tears to my eyes.",1
The rape of Jewish women by Hamas was a world disgrace. Your denial of it is disgusting. You are a miserable old man.,1
"hardly, you just showed yourself to be a Jew hating and antisemitic bigot.",1
"This doesn't work anymore, being antisemitic isn't a problem anymore, most people now are secretly/openly hyper antisemitic, and that's for obvious reasons of course. Now go cry in the corner",-1
It’s not complicated. Stop killing our brothers and sisters in #Palestine. Stop the genocide.,-1
Any proff of that? Because all I saw was Israeli hostages realizing how fascist their country is. Most of hostages injured or killed by IDF,-1
"“The Jews are out to get me,” said West. “The Jews are stealing all my money.”",-1
The major takeaway from this is that you hate Jews and don't think Ukrainians deserve their freedom.,1
"Palestinians celebrated on their streets as 1,200 Israelis were murdered, and hundreds kidnapped. Now their cities are reduced to rubble. They brought it on themselves.",1
‘Palestine’ doesn’t exist. There is no genocide. Long live Israel.,1
"Judith Butler describing the October 7 massacre as armed resistance: “We can have different views about Hamas as a political party, we can have different views about armed resistance. But [...] the uprising of October 7th was an act of armed resistance.[...] This was an uprising”",-1
"Waters claimed the war in Gaza is the most important issue impacting the world, calling for Israel to apologize “to the whole human race.”",-1
"“We must absolutely not be afraid to support Palestinian resistance. Because sure, boycott is great, but the invaders will have to pay for their crimes!”",-1
"My organization was in Israel treating trauma for the survivors of the atrocities that Roger Waters denies. The aunt of Kfir Bibas, a head occupational therapist, at the Negev hospital where we were working took leave due to her unbearable grief knowing her brother, sister-in-law, and her two nephews were kidnapped by Hamas.",1
